"","id","satisfaction","education","age","gender","car","phone","fax","pc","pincome","savings1","savings2","creditcard1","creditcard2","atmcard1","atmcard2","cd1","cd2","specialchecking1","specialchecking2","auto.bill.payment1","auto.bill.payment2","personal.loans1","personal.loans2","mortgage1","mortgage2","installment.loan1","installment.loan2","investment.fund1","investment.fund2","commodities.fund1","commodities.fund2","annuities.fund1","annuities.fund2","car.insurance1","car.insurance2","home.insurance1","home.insurance2","life.insurance1","life.insurance2"
"12",  56,4,5,65,"Male",0,1,0,1, 850,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
"156", 662,3,5,35,"Male",1,1,0,1, 850,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"208", 889,1,5,45,"Male",1,1,1,1,5000,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"780",3090,2,5,55,"Female",1,1,0,0,1750,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229", 977,4,5,55,"Male",1,1,0,1,5000,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0
"1221",4908,4,4,35,"Male",0,0,0,0,4000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46", 207,3,5,45,"Female",1,1,0,0, 400,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
"670",2634,4,5,45,"Male",1,1,0,0, 550,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1
"917",3679,3,5,45,"Female",1,1,0,0, 400,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"706",2758,1,4,25,"Male",1,1,0,0,2500,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"132", 562,4,5,55,"Male",1,1,1,1, 850,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"921",3701,4,2,65,"Male",0,0,0,0,4000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1315",5313,4,2,65,"Female",0,1,0,0,1750,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"630",2489,4,5,35,"Female",1,1,0,0, 400,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"344",1390,4,5,65,"Male",1,1,1,0,5000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"36", 166,3,5,65,"Male",1,1,0,0,5000,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"888",3531,3,5,55,"Male",1,1,1,0, 850,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
"776",3073,3,3,45,"Female",1,0,0,0,4000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1108",4409,4,5,35,"Male",0,0,0,0,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97", 408,1,5,45,"Male",1,1,0,1, 850,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1
"993",3959,3,4,25,"Male",1,1,0,0,1750,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"760",3014,1,5,65,"Female",1,1,0,0,4000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1349",5440,4,4,20,"Male",1,1,0,1,4000,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"202", 858,4,5,65,"Male",1,1,0,1,2500,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"647",2550,4,3,55,"Male",1,0,0,0,1250,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"527",2058,4,5,35,"Female",1,1,0,1, 550,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1106",4405,4,3,65,"Female",1,1,0,0,1750,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"23", 116,4,5,45,"Male",1,1,1,1,1250,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"813",3213,1,4,35,"Female",1,1,0,0,4000,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"728",2872,2,2,45,"Male",0,0,0,0,1750,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165", 702,1,5,45,"Female",1,1,0,1, 850,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1038",4143,1,5,45,"Female",1,1,1,1,4000,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
